ID,Age,Sex,Date,Partner_order,Adult,Partner_age,Partner_sex,How,Related,Relationship,AtCamp,Preferred,Unpreferred,Post_camp
695,9,F,8-Jan,1,No,8,F,School,No,Unrelated,Yes,Yes,No,No
695,9,F,8-Jan,2,No,9,F,School,No,Unrelated,No,No,No,No
695,9,F,8-Jan,3,No,8,F,School,No,Unrelated,No,No,No,No
695,9,F,8-Jan,4,No,9,F,School,No,Unrelated,No,No,No,No
927,12,M,12-Jan,1,No,12,M,Recreation,No,Unrelated,No,Yes,No,No
589,10,F,12-Jan,1,Yes,Adult,F,Family,Yes,Immediate,No,No,No,No
682,13,F,12-Jan,1,No,15,M,School,No,Unrelated,No,No,No,No
682,13,F,12-Jan,2,No,13,F,School,No,Unrelated,No,No,No,No
682,13,F,12-Jan,3,No,15,F,School,No,Unrelated,No,No,No,No
682,13,F,12-Jan,4,No,13,F,School,No,Unrelated,No,No,No,No
682,13,F,12-Jan,5,No,15,M,School,No,Unrelated,No,Yes,No,No
590,8,F,13-Jan,1,No,8,F,ThroughFamily,No,Unrelated,No,Yes,No,No
696,11,F,13-Jan,1,No,12,F,ThroughFriend,No,Unrelated,Yes,Yes,No,No
419,6,M,15-Jan,1,No,7,M,School,No,Unrelated,Yes,No,No,No
419,6,M,15-Jan,2,No,7,M,School,No,Unrelated,Yes,No,No,No
419,6,M,15-Jan,3,No,6,M,School,Yes,Extended,Yes,Yes,No,No
964,12,M,15-Jan,1,No,13,M,Neighbors,No,Unrelated,No,Yes,No,No
964,12,M,15-Jan,2,No,10,M,School,Yes,Extended,No,Yes,No,No
964,12,M,15-Jan,3,No,9,M,ThroughFriend,No,Unrelated,No,Yes,No,No
964,12,M,15-Jan,4,No,12,M,School,No,Unrelated,No,Yes,No,No
964,12,M,15-Jan,5,No,9,M,School,No,Unrelated,No,Yes,No,No
929,12,M,15-Jan,1,No,12,M,Recreation,No,Unrelated,No,No,No,No
929,12,M,15-Jan,2,No,10,M,Recreation,No,Unrelated,No,Yes,No,No
895,11,F,15-Jan,1,No,11,F,Church,No,Unrelated,No,Yes,No,No
895,11,F,15-Jan,2,No,10,F,Church,No,Unrelated,No,No,No,No
895,11,F,15-Jan,3,No,12,F,Church,No,Unrelated,No,No,No,No
408,10,M,15-Jan,1,No,10,M,Recreation,Yes,Extended,No,Yes,No,No
408,10,M,15-Jan,2,No,11,M,Family,Yes,Extended,No,Yes,No,No
407,13,F,15-Jan,1,No,13,F,School,No,Unrelated,No,Yes,No,No
409,8,F,15-Jan,1,No,8,M,Family,Yes,Extended,No,Yes,No,No
409,8,F,15-Jan,2,No,5,M,Family,Yes,Extended,No,Yes,Yes,No
409,8,F,15-Jan,3,No,2,F,Family,Yes,Extended,Yes,Yes,No,No
