ID,Age,Sex,Date,HaveYou,WouldYou,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Count_same_sex,Count_other_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Partners_male_noadult,Partners_female_noadult,Count_same_sex_noadult,Count_other_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult
929,12,M,15-Jan,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2
892,11,F,15-Jan,Yes,Yes,Public,Airport/Jerusalem,ES-ES,Yes,2001,NA,1994,3,8,271,3,3,0,0,0,3,3,0,0,0,0,3,0,3,3,0,0,0,0,3
408,10,M,15-Jan,No,No,Adventist,Centro,EN,No,NA,NA,1990,9,20,400,2,2,0,0,2,0,2,0,0,2,2,0,2,0,2,0,0,2,2,0
407,13,F,15-Jan,No,Yes,Adventist,Centro,EN,No,NA,NA,1990,9,20,400,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
409,8,F,15-Jan,Yes,Yes,Adventist,Centro,EN,No,NA,NA,1990,9,20,400,3,3,0,0,2,1,1,2,0,3,3,0,2,1,1,2,0,3,3,0
967,7,F,15-Jan,Yes,Yes,Methodist,Jericho,ES-ES,Yes,2016,4,1993,3,16,93,2,1,1,0.5,1,1,1,1,1,1,2,0,1,0,0,1,0,1,1,0
968,10,M,15-Jan,Yes,Yes,Public,Airport/Jerusalem,ES-ES,Yes,2010,NA,1990,10,30,163,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
969,16,F,15-Jan,Yes,No,Public,Airport/Jerusalem,ES-ES,Yes,2010,NA,1990,10,30,163,2,2,0,0,0,2,2,0,0,1,1,1,0,2,2,0,0,1,1,1
417,11,F,15-Jan,Yes,No,Public,Sandy Bay,EN,No,NA,NA,1981,5,27,512,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
418,8,F,15-Jan,Yes,Yes,Public,Sandy Bay,EN,No,NA,NA,1981,5,27,512,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
655,7,M,16-Jan,Yes,Yes,Public,Sandy Bay,ES-ES,Yes,2003,NA,1997,3,13,247,5,5,0,0,4,1,4,1,2,0,2,3,4,1,4,1,2,0,2,3
727,11,F,16-Jan,Yes,Yes,Public,Cola de Mica/Lozano,ES-ES,Yes,2018,9,1981,2,27,64,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
451,10,M,16-Jan,NoOpportunity,Yes,Public,Camponado/Campolancho,EN,No,NA,NA,1995,10,30,339,8,8,0,0,7,1,7,1,0,4,4,4,7,1,7,1,0,4,4,4
