ID,Age,Sex,Date,HaveYou,WouldYou,OpenToNew,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,MonthsSinceCaregiverImmigration,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,AverageAgeDifference,VarianceAgeDifference,StDevAgeDifference,AvgAbsAgeDifference,VarAbsAgeDifference,StDevAbsAgeDifference,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Prop_male,Count_same_sex,Count_other_sex,Prop_same_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Prop_immediate,Prop_extended,Prop_related,Partners_male_noadult,Partners_female_noadult,Prop_malenoadult,Count_same_sex_noadult,Count_other_sex_noadult,Prop_same_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult,Prop_immediate_noadult,Prop_extended_noadult,Prop_related_noadult
432,7,F,25-Jan,Yes,Yes,1,Methodist,Western Path,EN,No,NA,NA,NA,1986,6,20,451,0.3333333333,1.066666667,1.032795559,0.6666666667,0.6666666667,0.8164965809,6,6,0,0,3,3,0.5,3,3,0.5,1,0,1,5,0.166666667,0,0.166666667,3,3,0.5,3,3,0.5,1,0,1,5,0.166666667,0,0.166666667
934,8,M,24-Jan,No,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,0.9166666667,0.9574271078,0.75,0.9166666667,0.9574271078,4,4,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0
569,9,M,26-Jan,No,No,0,Public,Camponado/Campolancho,ES-ES,Yes,2007,NA,199,1993,7,12,199,-0.5,0.3333333333,0.5773502692,0.5,0.3333333333,0.5773502692,4,4,0,0,4,0,1,4,0,1,0,1,1,3,0,0.25,0.25,4,0,1,4,0,1,0,1,1,3,0,0.25,0.25
568,9,M,26-Jan,Yes,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2007,NA,199,1993,7,12,199,0,0,0,0,0,0,2,2,0,0,1,1,0.5,1,1,0.5,1,1,2,0,0.5,0.5,1,1,1,0.5,1,1,0.5,1,1,2,0,0.5,0.5,1
575,10,F,26-Jan,Yes,Yes,1,Public,Sandy Bay,ES-ES,Yes,2010,NA,163,1986,9,1,163,2,0,0,2,0,0,2,2,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0
961,9,M,27-Jan,Yes,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2013,7,126,1997,11,17,126,-2,22,4.69041576,2.5,19,4.358898944,4,4,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0
573,15,F,27-Jan,Yes,Yes,1,Public,Sandy Bay,ES-ES,Yes,2010,NA,163,1986,9,1,163,1,0.6666666667,0.8164965809,1,0.6666666667,0.8164965809,4,4,0,0,2,2,0.5,1,1,0.25,0,2,2,2,0,0.5,0.5,2,2,0.5,1,1,0.25,0,2,2,2,0,0.5,0.5
722,14,M,14-Feb,NA,NA,,Methodist ,Cola de Mica/Lozano,ES-ES,Yes,2021,3,34,1979,8,25,34,0.75,0.25,0.5,0.75,0.25,0.5,4,4,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0
576,8,F,15-Feb,NA,NA,,Methodist,Camponado/Campolancho,ES-ES,Yes,2011,7,150,1996,8,10,150,0,11.33333333,3.366501646,2.5,3,1.732050808,4,4,0,0,2,2,0.5,2,2,0.5,0,3,3,1,0,0.75,0.75,2,2,0.5,2,2,0.5,0,3,3,1,0,0.75,0.75
738,17,F,16-Feb,NA,NA,,Public,Pumpkin Hill,ES-ES,Yes,2008,NA,187,1987,7,21,187,10.66666667,17.33333333,4.163331999,10.66666667,17.33333333,4.163331999,3,3,0,0,2,1,0.6666666667,1,2,0.3333333333,2,1,3,0,0.6666666667,0.3333333333,1,2,1,0.6666666667,1,2,0.3333333333,2,1,3,0,0.6666666667,0.3333333333,1
551,11,M,16-Feb,NA,NA,,Public,Pumpkin Hill,ES-ES,Yes,2008,NA,187,1987,7,21,187,3.333333333,69.33333333,8.326663998,7.333333333,5.333333333,2.309401077,3,3,0,0,0,3,0,0,3,0,2,1,3,0,0.6666666667,0.3333333333,1,0,3,0,0,3,0,2,1,3,0,0.6666666667,0.3333333333,1
732,12,M,16-Feb,NA,NA,,Adventist,Camponado/Campolancho,ES-ES,Yes,1998,NA,307,1993,6,12,307,2.5,12.5,3.535533906,2.5,12.5,3.535533906,2,2,0,0,2,0,1,2,0,1,1,0,1,1,0.5,0,0.5,2,0,1,2,0,1,1,0,1,1,0.5,0,0.5
733,7,M,16-Feb,NA,NA,,Adventist,Camponado/Campolancho,ES-ES,Yes,1998,NA,307,1993,6,12,307,-5,0,0,5,0,0,2,2,0,0,2,0,1,2,0,1,1,0,1,1,0.5,0,0.5,2,0,1,2,0,1,1,0,1,1,0.5,0,0.5
966,13,M,19-Feb,NA,NA,,Methodist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,98,9.899494937,7,72,8.485281374,2,2,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0
652,8,M,20-Feb,NA,NA,,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,1996,7,7,330,-3,4,2,3,4,2,5,5,0,0,2,3,0.4,2,3,0.4,0,5,5,0,0,1,1,2,3,0.4,2,3,0.4,0,5,5,0,0,1,1
610,13,M,20-Feb,NA,NA,,Methodist,Sandy Bay,ES-ES,Yes,2005,NA,223,1982,10,12,223,0.5,0.5,0.7071067812,0.5,0.5,0.7071067812,2,2,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0
901,7,F,20-Feb,NA,NA,,Methodist,Sandy Bay,ES-ES,Yes,2005,NA,223,1982,10,12,223,-1.5,9,3,1.5,9,3,4,4,0,0,1,3,0.25,3,1,0.75,1,0,1,3,0.25,0,0.25,1,3,0.25,3,1,0.75,1,0,1,3,0.25,0,0.25
558,13,F,21-Feb,NA,NA,,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,283,1986,2,15,283,-0.5,0.5714285714,0.755928946,0.5,0.5714285714,0.755928946,8,8,0,0,2,6,0.25,6,2,0.75,0,1,1,7,0,0.125,0.125,2,6,0.25,6,2,0.75,0,1,1,7,0,0.125,0.125
559,9,F,21-Feb,NA,NA,,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,283,1986,2,15,283,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
697,10,M,21-Feb,NA,NA,,Public,Camponado/Campolancho,ES-ES,Yes,2012,NA,139,1997,4,18,139,-1.25,9.357142857,3.058944729,2.75,2.5,1.58113883,8,8,0,0,8,0,1,8,0,1,0,4,4,4,0,0.5,0.5,8,0,1,8,0,1,0,4,4,4,0,0.5,0.5
595,13,M,21-Feb,NA,NA,,Public,Monte Fresco,ES-ES,No,NA,NA,NA,1991,2,19,395,2.5,12.5,3.535533906,2.5,12.5,3.535533906,2,2,0,0,2,0,1,2,0,1,0,2,2,0,0,1,1,2,0,1,2,0,1,0,2,2,0,0,1,1
596,9,M,21-Feb,NA,NA,,Public,Monte Fresco,ES-ES,No,NA,NA,NA,1991,2,19,395,-0.5,0.3333333333,0.5773502692,0.5,0.3333333333,0.5773502692,4,4,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0
413,16,M,27-Feb,NA,NA,,Public,Sandy Bay,EN,No,NA,NA,NA,1987,6,3,439,2,0.8,0.894427191,2,0.8,0.894427191,6,6,0,0,5,1,0.8333333333,5,1,0.8333333333,0,0,0,6,0,0,0,5,1,0.8333333333,5,1,0.8333333333,0,0,0,6,0,0,0
574,14,M,28-Feb,NA,NA,,Public,Sandy Bay,ES-ES,Yes,2010,NA,163,1986,9,1,163,1.333333333,1.333333333,1.154700538,1.333333333,1.333333333,1.154700538,3,3,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0
683,7,M,28-Feb,NA,NA,,Methodist,Rocky Hill,ES-ES,Yes,1990,NA,403,1986,9,11,403,0.5833333333,1.041666667,1.020620726,0.9166666667,0.4416666667,0.6645800679,6,6,0,0,5,1,0.8333333333,5,1,0.8333333333,0,1,1,5,0,0.1666666667,0.1666666667,5,1,0.8333333333,5,1,0.8333333333,0,1,1,5,0,0.1666666667,0.1666666667
900,12,M,28-Feb,NA,NA,,Adventist ,Camponado/Campolancho,ES-ES,Yes,2018,2,71,1989,1,28,71,0.6666666667,0.3333333333,0.5773502692,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0
612,15,M,29-Feb,NA,NA,,Public,Rocky Hill,ES-ES,Yes,2006,NA,211,1972,1,29,211,1.125,0.6964285714,0.8345229604,1.125,0.6964285714,0.8345229604,8,8,0,0,5,3,0.625,5,3,0.625,0,0,0,8,0,0,0,5,3,0.625,5,3,0.625,0,0,0,8,0,0,0
909,9,F,29-Feb,NA,NA,,Public,Rocky Hill,ES-ES,Yes,2006,NA,211,1972,1,29,211,-11.75,445.5833333,21.10884491,12.75,412.9166667,20.32035105,4,3,1,0.25,2,2,0.5,2,2,0.5,3,0,3,1,0.75,0,0.75,1,2,0.3333333333,2,1,0.6666666667,2,0,2,0,0.67,0,0.6666666667
908,7,F,29-Feb,NA,NA,,Public,Rocky Hill,ES-ES,Yes,2006,NA,211,1972,1,29,211,-1.75,1.583333333,1.258305739,1.75,1.583333333,1.258305739,4,4,0,0,2,2,0.5,2,2,0.5,0,0,0,4,0,0,0,2,2,0.5,2,2,0.5,0,0,0,4,0,0,0
405,15,M,29-Feb,NA,NA,,Methodist,Donkey City,EN,Yes,2006,11,206,NA,NA,NA,206,-0.7142857143,4.238095238,2.058663459,1.285714286,2.904761905,1.704336206,7,7,0,0,7,0,1,7,0,1,0,1,1,6,0,0.1428571429,0.1428571429,7,0,1,7,0,1,0,1,1,6,0,0.1428571429,0.1428571429
988,13,F,29-Feb,NA,NA,,Methodist,Airport/Jerusalem,ES-ES,No,NA,NA,NA,1989,1,1,420,-0.6,0.8,0.894427191,0.6,0.8,0.894427191,5,5,0,0,0,5,0,5,0,1,0,1,1,4,0,0.2,0.2,0,5,0,5,0,1,0,1,1,4,0,0.2,0.2
618,14,M,29-Feb,NA,NA,,Methodist ,Airport/Jerusalem,ES-ES,No,NA,NA,NA,1989,1,1,420,-0.3333333333,2.266666667,1.505545305,1,1.2,1.095445115,6,6,0,0,5,1,0.8333333333,5,1,0.8333333333,0,1,1,5,0,0.1666666667,0.1666666667,5,1,0.8333333333,5,1,0.8333333333,0,1,1,5,0,0.1666666667,0.1666666667
410,11,M,5-Mar,NA,NA,,Other,Treasure Hill,EN,No,NA,NA,NA,1990,6,29,403,0.2,1.7,1.303840481,1,0.5,0.7071067812,5,5,0,0,5,0,1,5,0,1,0,1,1,4,0,0.2,0.2,5,0,1,5,0,1,0,1,1,4,0,0.2,0.2
936,5,M,5-Mar,NA,NA,,Other,Treasure Hill,EN,No,NA,NA,NA,1990,6,29,403,-1.333333333,5.333333333,2.309401077,1.333333333,5.333333333,2.309401077,3,3,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0
